Titulo;Precio;Banos;Fecha;Piezas;Superficie Construida;Superficie Total;Estacionamiento;Lugar;Latitud;Longitud;Corredora
Pudahuel Oportunidad venta casa en lomas de lo aguirre (99369);332137500;3;11-06-2025;3;135;463;2;Pudahuel;-334.482.415;-708.256.804;Vendo Casa En Puerto Varas, Lomas Del Lago
Penalolen Biarritz 8850 vinedos del consistorial;424745250;4;11-06-2025;4;140;350;;Penalolen;-334.926.079;-705.477.689;Brokers Inmobiliarios
La Reina Larrain con avda. Ossa;306738750;2;11-06-2025;4;92;194;;La Reina;-334.533.294;-705.680.329;Brokers Inmobiliarios
Colina Gran oportunidad hermosa casa mediterranea (48169);672090000;4;11-06-2025;4;250;760;3;Colina;-332.711.368;-706.238.683;BFBPROPIEDADES
Las Condes Sebastian Elcano (100398);781109250;4;11-06-2025;5;260;420;2;Las Condes;-334.248.843;-705.740.871;
Colina Chamisero 13663;400518750;5;11-06-2025;6;182;399;4;Colina;-333.181.155;-706.536.182;Easyprop
Quinta Normal Estacion Metro Gruta Lourdes;438890400;2;11-06-2025;4;213;416;;Quinta Normal;-33.440.251.332.660.000;-7.068.037.033.081.050;Easyprop
Santiago Casa en venta 6d 3b Portugal Santiago (99826);220000000;3;11-06-2025;6;171;204;;Santiago;-334.623.385;-706.319.139;CC PROPIEDADES
Vitacura Geronimo de alderete;683812500;3;11-06-2025;3;145;240;2;Vitacura;-33.389.563.676.626.400;-7.056.389.246.718.790;Vivaqui Propiedades
Maipu 4 poniente con el libano;125320996;2;11-06-2025;;45;120;;Maipu;-335.468.359;-707.693.266;Brokers Inmobiliarios
Colina Chamisero;527512500;3;11-06-2025;4;173;700;3;Colina;-33.309.837.462.190.100;-7.066.157.718.148.240;Vivaqui Propiedades
Penalolen Condominio Valle Oriente;323931750;3;11-06-2025;4;140;280;2;Penalolen;-3.348.602.480.991.550;-7.054.466.250.422.970;Vivaqui Propiedades
Puente Alto 3d.2b av.Mexico/cerro san cristobal (91218);80000000;2;11-06-2025;3;87;90;2;Puente Alto;-335.952.324;-705.606.184;PROPIEDADES LAS VIZCACHAS
Huechuraba Caciques Chilenos;332137500;4;11-06-2025;5;140;240;2;Huechuraba;-33.355.785.107.274.700;-7.066.862.172.829.230;Find Home
Las Condes Camino San Francisco de Asis 321;1273845000;4;11-06-2025;4;;;3;Las Condes;-33.375.528;-705.160.697;Macrini Propiedades
Colina pasaje las lomas 1010;120000000;1;11-06-2025;5;10812;156;2;Colina;-33.195.275;-70.670.897;
La Reina Carlos Silva Vildosola;595893750;3;11-06-2025;5;182;490;3;La Reina;-334.414.109;-7.053.028.979.999.990;Find Home
Conchali Se Vende propiedad en Avenida Principal (96195);180000000;2;11-06-2025;4;83;242;2;Conchali;-333.977.596;-706.676.171;Toledo Propiedades
Las Condes Alejandro Fleming - Sebastian Pinera;402472500;3;11-06-2025;4;126;250;2;Las Condes;-334.230.749;-705.441.992;Find Home
Huechuraba Santa marta;312209250;3;11-06-2025;3;10539;209;2;Huechuraba;-333.456.556.192.047;-7.067.751.400.386.220;Find Home
Puente Alto Comoda Parcela Loteo las Vizcachas (64731);690000000;5;11-06-2025;5;240;1400;4;Puente Alto;-335.981.085;-705.118.626;PROPIEDADES LAS VIZCACHAS
Las Condes Valdepenas;429825000;3;11-06-2025;4;101;300;3;Las Condes;-334.143.372;-7.054.445.079.999.990;Find Home
Las Condes Sebastian Elcano;390750000;3;11-06-2025;4;100;155;3;Las Condes;-33.428.243;-705.695.813;
Las Condes Av. San Carlos de Apoquindo 450;1133175000;6;11-06-2025;5;270;582;3;Las Condes;-333.879.403;-705.012.332;Macrini Propiedades
Colina Casa de finas terminaciones y diseno (100388);621292500;4;11-06-2025;4;472;5012;3;Colina;-332.369.436;-70.717.562;Hausy Propiedades
Lo Barnechea Casa en barrio seguro (99878);507975000;4;11-06-2025;5;157;278;2;Lo Barnechea;-333.305.624;-705.045.346;Hausy Propiedades
Vitacura Cerca Club de golf;933892500;5;11-06-2025;6;184;396;3;Vitacura;-333.681.265;-705.829.377;Alto Andes
San Miguel Segunda avenida;310000000;2;11-06-2025;6;120;250;1;San Miguel;-335.024.664;-706.661.501;Unne
Macul Metro Quilin;290000000;1;11-06-2025;3;109;328;2;Macul;-334.876;-7.058.763.669.999.990;Cata Brochet
Melipilla Avenida Padre Demetrio Bravo;76000000;2;11-06-2025;5;93;250;2;Melipilla;-336.793.545;-712.073.865;
Maipu Casa en maipu;128947500;2;11-06-2025;3;61;141;1;Maipu;-335.251.609;-707.876.741;Unne
Las Condes Francisco Bulnes Correa;1113637500;5;11-06-2025;5;279;923;3;Las Condes;-33.408.784.604.399.500;-7.051.488.284.261.630;Berrios Zegers
La Reina Julia Bernstein 0607;593940000;4;11-06-2025;4;175;200;3;La Reina;-334.405.722;-705.208.237;Macrini Propiedades
Independencia Cercano a Av. Reina Maria con Av.Bajos de Jimenez;133000000;2;11-06-2025;5;100;247;1;Independencia;-16.290.154;-6.358.865.299.999.990;
Puente Alto cochoa/ nuevo continente;89872500;1;11-06-2025;4;;;;Puente Alto;-335.644.437;-7.057.009.219.999.990;
La Cisterna lucerna;189513750;3;11-06-2025;7;138;341;4;La Cisterna;-3.351.923;-7.066.913;
Estacion Central La Coruna 4881;175000000;2;11-06-2025;8;108;184;;Estacion Central;-334.521.643;-707.019.299;Rosario Andrade
Penalolen Entre Quilin Norte y Quilin Sur;328230000;3;11-06-2025;3;140;140;2;Penalolen;-334.985.562;-705.625.555;Macrini Propiedades
Quilicura Rio llico;77681100;1;11-06-2025;2;58;65;1;Quilicura;-333.600.124;-7.075.835.099.999.990;Margarita Leiva Catalan
Puente Alto Parcela Loteo las Vizcachas (71000);482576250;4;11-06-2025;4;221;1520;6;Puente Alto;-335.981.085;-705.118.626;PROPIEDADES LAS VIZCACHAS
Puente Alto 3d3b amplio patio jardines de vizcachas (93134);191467500;3;11-06-2025;3;100;190;2;Puente Alto;-335.988.226;-705.187.584;PROPIEDADES LAS VIZCACHAS
Puente Alto Cabernet;203971500;3;11-06-2025;3;149;230;2;Puente Alto;-335.560.634;-70.533.628;Easyprop
La Cisterna Ginebra con san jose;160000000;1;11-06-2025;3;139;220;;La Cisterna;-335.242.714;-706.638.634;
Paine Condominio los nogales de paine;500000000;5;11-06-2025;6;524;5000;;Paine;-338.016.498;-707.047.274;
Las Condes Av. Isabel la catolica;429825000;2;11-06-2025;3;143;228;2;Las Condes;-33.429.544;-705.818.168;
Maipu Camino Melipilla -Avenida Cuatro Poniente;89000000;2;11-06-2025;3;90;120;;Maipu;-335.398.809;-7.077.901.849.999.990;Agustín Fuenzalida Propiedades
Lo Barnechea Panoramica Sur;838158750;3;11-06-2025;3;209;187;2;Lo Barnechea;-333.282.855;-705.330.705;Welink Propiedades SpA
Maipu Cuatro poniente con lautaro;111363750;3;11-06-2025;3;81;99;;Maipu;-335.498.951;-707.642.368;Unne
Penalolen Colegio mayor;339952500;3;11-06-2025;3;182;148;;Penalolen;-33.492.276;-705.550.153;
Providencia Sector barrio pocuro;590032500;3;11-06-2025;4;141;287;;Providencia;-334.303.663;-705.889.783;
Macul Victor domingo silva;139536825;1;11-06-2025;3;70;209;2;Macul;-3.349.303.884;-7.060.071.945;SyA Propiedades LTDA.
La Florida Sta. Amalia / La Florida;198501000;3;11-06-2025;4;116;200;3;La Florida;-335.432.118;-70.564.031;Sucursal El Bosque Sur
Penalolen Alto Casagrande (100839);488437500;5;11-06-2025;5;140;500;4;Penalolen;-33.491.171;-705.379.899;Fajardo de la Cuba Propiedades Ltda.
La Florida Nva. Maria angelica con camino del paisaje (100814);347767500;3;11-06-2025;4;140;330;3;La Florida;-335.110.871;-705.281.693;Fajardo de la Cuba Propiedades Ltda.
Penalolen Se vende casa en condominio las pircas (100757);496252500;4;11-06-2025;6;140;502;2;Penalolen;-335.055.815;-705.288.943;Fajardo de la Cuba Propiedades Ltda.
Penalolen Se vende casa de 3d y 3b. Las pircas (100731);410287500;3;11-06-2025;3;126;327;2;Penalolen;-334.943.431;-705.416.106;Fajardo de la Cuba Propiedades Ltda.
Penalolen Venta de cesion de drechos de promesa. (100457);377972475;3;11-06-2025;3;138;385;2;Penalolen;-334.925.517;-705.298.493;Fajardo de la Cuba Propiedades Ltda.
Penalolen Condominio parque residencial torremolinos (100320);312600000;3;11-06-2025;4;110;210;2;Penalolen;-334.800.864;-705.455.741;Fajardo de la Cuba Propiedades Ltda.
Penalolen Casa en venta en matias cousino (100290);445064250;4;11-06-2025;6;186;267;3;Penalolen;-334.928.452;-705.547.099;Fajardo de la Cuba Propiedades Ltda.
Maipu Josue 16201 Maipu;79000000;1;11-06-2025;2;60;60;1;Maipu;-335.414.217;-7.077.233.319.999.990;Find Home
La Florida Condominio vista valle  (100109);382935000;3;11-06-2025;3;119;350;2;La Florida;-335.148.338;-70.521.071;Fajardo de la Cuba Propiedades Ltda.
Penalolen Casa en venta 4d3b pasaje cerrado (99409);273525000;3;11-06-2025;4;124;222;1;Penalolen;-334.810.003;-705.484.422;Fajardo de la Cuba Propiedades Ltda.
La Reina Casa en condominio La Reina Alta (99319);1133175000;5;11-06-2025;5;320;780;5;La Reina;-334.521.099;-705.202.066;Fajardo de la Cuba Propiedades Ltda.
Vitacura Vitacura (100017);718980000;4;11-06-2025;4;190;269;2;Vitacura;-33.381.176;-7.054.281;Paso Propiedades
La Florida Salvador sanfuentes;109999990;2;11-06-2025;3;109;109;2;La Florida;-335.673.825;-705.955.508;Unne
Renca Casa en venta renca villa miraflores 2d1best+2d;88000000;1;11-06-2025;2;49;63;;Renca;-333.992.047;-707.487.631;Unne
Lo Barnechea Robles con el Radal;699442500;3;11-06-2025;4;229;631;;Lo Barnechea;-3.336.449.106.161.120;-705.207.702.558.151;Propiedades Viel SpA
Penalolen Las vegas // el arrayan;284856750;3;11-06-2025;3;140;210;2;Penalolen;-334.840.494;-70.559.429;Unne
Quilicura Casa esquina con local comercial en Quilicura (100586);234450000;3;11-06-2025;4;116;231;1;Quilicura;-333.642.736;-707.151.508;Cinco Aguas Propiedades
La Florida Entre doctor luis calvo mackenna y calle fresia;200000000;1;11-06-2025;;60;128;;La Florida;-335.204.918;-70.604.029;Brokers Inmobiliarios
Nunoa Grecia con Santa Julia;390750000;3;11-06-2025;4;137;170;3;Nunoa;-33.464.781;-705.915.658;Easyprop
La Reina Sin comision - la reina te espera (100750);660367500;3;11-06-2025;4;120;273;2;La Reina;-334.378.786;-70.551.172;Broker Active
Las Condes Exclusiva y lujosa casa italiana  (100738);2735250000;6;11-06-2025;7;650;3065;10;Las Condes;-33.398.893;-705.252.044;Broker Active
Penalolen La oportunidad que buscabas (100644);380000000;3;11-06-2025;3;125;280;2;Penalolen;-334.969.051;-705.551.977;Broker Active
Las Condes Sebastian el cano / latadia nueva!  (100111);409896750;2;11-06-2025;2;80;175;3;Las Condes;-334.280.458;-705.666.901;Broker Active
Penalolen 400m2 de terreno para disfrutar (99838);429825000;4;11-06-2025;5;140;400;2;Penalolen;-334.836.553;-705.373.367;Broker Active
Penalolen Aprovecha esta oportunidad  (99241);370000000;3;11-06-2025;5;131;369;2;Penalolen;-334.845.931;-705.515.654;Broker Active
La Florida Santa Sofia con Camino de la Esperanza;417360075;6;11-06-2025;5;200;434;2;La Florida;-335.333.333;-7.058.333.329.999.990;Easyprop
Calera de Tango Camino el sauce;382935000;3;11-06-2025;4;259;5000;3;Calera de Tango;-336.509.672;-7.078.264.970.000.000;Berrios Zegers
Las Condes Alonso de camargo;625200000;3;11-06-2025;4;220;360;3;Las Condes;-334.227.401;-705.475.629;Berrios Zegers
Lo Barnechea Camino El Peumo / Camino El Chin;644737500;4;11-06-2025;5;176;486;2;Lo Barnechea;-33.330.631.362.120.900;-7.050.785.103.806.720;Nexxos
Lo Barnechea Impecable casa cercana a colegios mayflower y huinganal;582217500;4;11-06-2025;4;172;234;2;Lo Barnechea;-333.430.229;-705.020.084;Movahome Corredores Integrados
Pudahuel Av. Transversal Uno 894 - Ciudad de los Valles;306738750;4;11-06-2025;5;180;350;;Pudahuel;-3.344.880.759.999.990;-708.402.134;
La Cisterna Casa en venta (100011);140670000;2;11-06-2025;4;124;349;2;La Cisterna;-335.350.205;-706.509.588;PROPYRED
Conchali Casa con derecho a llave after School (73610);304785000;2;11-06-2025;5;174;230;1;Conchali;-333.853.706;-706.803.463;Propiedades lsilva
Puente Alto Calle la Rambla;125000000;2;11-06-2025;3;60;98;2;Puente Alto;-336.004.267;-705.489.865;
San Miguel San Petersburgo 6120;180000000;4;11-06-2025;9;201;212;4;San Miguel;-335.134.482;-706.465.923;
San Miguel Tannenbaum;168000000;1;11-06-2025;4;132;220;1;San Miguel;-335.131.412;-706.471.641;
Maipu Maipu;109000000;2;11-06-2025;5;;;3;Maipu;-3.354.557.958.451.670;-707.703.423.500.061;
Puente Alto Condominio Faldeos de la Vina 1;169990000;2;11-06-2025;3;86;160;3;Puente Alto;-335.590.529;-705.469.083;
Puente Alto Pasaje Ebron 6 Oriente;64000000;1;11-06-2025;3;56;94;1;Puente Alto;-336.306.269;-706.066.953;
San Bernardo Camino Nos Los Morros;150000000;2;11-06-2025;6;88;362;4;San Bernardo;-336.396.227;-706.882.995;
Lo Espejo Villa sur;79000000;1;11-06-2025;3;76;106;;Lo Espejo;-335.064.075;-706.834.107;Brokers Inmobiliarios
Las Condes Del Inca (100438);390750000;2;11-06-2025;3;80;200;2;Las Condes;-334.142.827;-705.683.521;
Curacavi La aurora;464992500;4;11-06-2025;5;234;8600;3;Curacavi;-334.200.102;-7.101.643.829.999.990;Arboleda Estudio
San Miguel Condominio La Foresta;259614300;3;11-06-2025;3;120;250;2;San Miguel;-335.131.467;-706.543.949;Arboleda Estudio
San Bernardo Luis Cruz Martinez 054;175000000;2;11-06-2025;5;176;260;1;San Bernardo;-33.584.780.763.987.000;-7.070.773.549.079.890;
Recoleta Cercano a autopista vespucio norte y av. Zapadores;239000000;1;11-06-2025;4;510;510;;Recoleta;-333.948.504;-706.273.296;
La Florida La mejor opcion de compra en sector alto de la florida 4d 2b entorno privilegiado areas verdes buena conectividad;296970000;2;11-06-2025;4;115;307;2;La Florida;-335.350.132;-7.054.301.559.999.990;Grupo Premium Propiedades Santiago
Pudahuel C70214 - Venta Casa Lomas de lo Aguirre - 4D4B2E;406380000;4;11-06-2025;4;178;512;2;Pudahuel;-334.565.915;-70.821.148;Grupo Premium Propiedades Santiago
Penaflor Las Palmeras con avenida Balmaceda;623246250;5;11-06-2025;3;479;7333;30;Penaflor;-3.362.068.129.792.800;-7.087.127.789.202.200;Grupo Premium Propiedades Santiago
Penalolen av el valle / Francisco Otta Penalolen;359490000;3;11-06-2025;5;131;285;2;Penalolen;-334.732.078;-705.377.891;Grupo Premium Propiedades Santiago
Lampa Sector Los Guerreros;468900000;3;11-06-2025;4;310;5032;9;Lampa;-3.324.023.259.337.890;-707.818.082.590.003;Grupo Premium Propiedades Santiago
La Florida departamental / tobalaba;64786350;1;11-06-2025;2;;;;La Florida;-335.333.333;-7.058.333.329.999.990;Grupo Premium Propiedades Santiago
Lampa Santa Monica con La Canada;119569500;1;11-06-2025;3;50;124;2;Lampa;-332.829.255;-708.791.356;Grupo Premium Propiedades Santiago
Lampa Boulevard. Los Condores con La Canada;119569500;1;11-06-2025;3;50;124;2;Lampa;-332.829.255;-708.791.356;Grupo Premium Propiedades Santiago
La Florida Julio cesar mujica - Maria Elena;85000000;1;11-06-2025;4;77;178;;La Florida;-335.613.202;-7.060.516.799.999.990;Grupo Premium Propiedades Santiago
Penalolen camino de las camelias;355582500;3;11-06-2025;5;125;248;2;Penalolen;-335.068.256;-705.482.176;Grupo Premium Propiedades Santiago
Nunoa Echenique /ortuzar;425917500;3;11-06-2025;4;162;256;2;Nunoa;-334.454.441;-705.837.806;Grupo Premium Propiedades Santiago
Independencia Calle inglaterra;2344500000;;11-06-2025;;1680;1680;;Independencia;-334.122.977;-706.566.046;Grupo Premium Propiedades Santiago
Maipu Millahue & isabel riquelme;120000000;2;11-06-2025;2;72;122;1;Maipu;-3.349.610.611.565.390;-7.078.225.457.658.490;Grupo Premium Propiedades Santiago
Renca Antonio Maceo/Barros Arana;100000000;3;11-06-2025;6;159;280;;Renca;-3.341.475.482.869.030;-706.859.367.860.155;Grupo Premium Propiedades Santiago
Puente Alto Chaparaco;87000000;1;11-06-2025;3;50;75;1;Puente Alto;-335.669.724;-705.719.317;Jarm Propiedades
Maipu Las tinajas con catapilco;65000000;1;11-06-2025;4;40;71;;Maipu;-3.351.655.736.833.770;-7.078.478.981.192.790;Grupo Premium Propiedades Santiago
Santiago Leon Prado / Lira;385000000;2;11-06-2025;3;288;320;2;Santiago;-334.630.631;-706.347.408;Grupo Premium Propiedades Santiago
Cerrillos Calle Arturo Prat con Calle Ongolmo;130000000;1;11-06-2025;3;70;247;2;Cerrillos;-334.992.072;-707.229.184;Grupo Premium Propiedades Santiago
Puente Alto Puente Alto Lomas de Eyzaguirre Casas Viejas;189396525;2;11-06-2025;4;150;190;3;Puente Alto;-33.613.060.530.145.400;-7.053.658.548.582.760;Grupo Premium Propiedades Santiago
Penaflor Los Nogales de Santo Toribio;370000000;4;11-06-2025;5;300;5013;19;Penaflor;-3.363.181.668.931.930;-7.091.772.673.227.600;Grupo Premium Propiedades Santiago
Cerro Navia Avenida las torres;98000000;1;11-06-2025;3;109;216;4;Cerro Navia;-334.177.444;-7.073.197.069.999.990;Grupo Premium Propiedades Santiago
Pudahuel Montes de izarra /Los Molinos /Av Del Canal;238357500;;11-06-2025;4;93;198;;Pudahuel;-3.346.441;-7.085.786;Grupo Premium Propiedades Santiago
Lampa Larapinta Oriente- las Flores;129000000;2;11-06-2025;3;75;180;2;Lampa;-333.007.694;-7.087.533.479.999.990;Grupo Premium Propiedades Santiago
La Florida Estilosa Casa de 273m2 en terreno de 1000m2 Exclusivo sector de Lo Canas;507975000;5;11-06-2025;5;273;1000;6;La Florida;-3.352.316.285.151.700;-705.490.156.153.958;Grupo Premium Propiedades Santiago
San Bernardo San Bernardo cerca de la calle los suspitos con las viscachas;70000000;1;11-06-2025;3;47;69;;San Bernardo;-336.237.716;-7.068.912;Grupo Premium Propiedades Santiago
Lampa Naturaleza aire limpio Laguna navegable en Lampa;186778500;3;11-06-2025;3;130;185;2;Lampa;-333.277.367;-707.583.539;Grupo Premium Propiedades Santiago
Pudahuel Claudio arrau / americo vespucio;169000000;2;11-06-2025;4;119;234;3;Pudahuel;-33.453.070.793.461.000;-7.077.037.696.282.390;Grupo Premium Propiedades Santiago
La Pintana Montoro & Celanova;60000000;2;11-06-2025;3;109;109;1;La Pintana;-3.355.914;-7.064.666;Grupo Premium Propiedades Santiago
San Bernardo Calle Buenos Aires esquina Pasaje Halcon;300877500;3;11-06-2025;5;157;313;7;San Bernardo;-33.590.507.623.240.900;-7.071.251.142.975.110;Grupo Premium Propiedades Santiago
Maipu Holderlin / Rio Rhin / Barrio Holanda;139000000;2;11-06-2025;3;107;91;1;Maipu;-334.861.476;-707.734.712;Grupo Premium Propiedades Santiago
Maipu Av. Pajaritos con Av. Sur;147000000;2;11-06-2025;3;98;164;3;Maipu;-3.351.992.095.115.150;-7.075.907.670.918.910;Grupo Premium Propiedades Santiago
Puente Alto Loma del sol 3098;115271250;2;11-06-2025;3;137;59;;Puente Alto;-336.142.654;-705.404.728;Nexxos
Curacavi Condominio lomas del puangue / curacavi / valle del encanto;1367625000;5;11-06-2025;6;688;65374;;Curacavi;-33.390.354.678.242.100;-7.116.825.562.355.190;Schumacher Propiedades
La Florida Alto macul;527512500;4;11-06-2025;5;200;646;3;La Florida;-3.351.652.610.345.290;-705.285.208.211.226;Schumacher Propiedades
Puente Alto Nemesio Vicuna / El Penon;117000000;2;11-06-2025;4;90;91;1;Puente Alto;-335.786.883;-7.057.534.919.999.990;Schumacher Propiedades
Melipilla Ruta g-646;355582500;3;11-06-2025;3;300;300;6;Melipilla;-337.665.419;-71.122.567;Agentes Inmobiliarios Asociados-AINA
Lo Barnechea Bernardo Larrain Cotapos;1406700000;5;11-06-2025;7;394;394;8;Lo Barnechea;-3.333.393.739.003.270;-7.052.787.174.655.760;Agentes Inmobiliarios Asociados-AINA
Las Condes Martin de Zamora La Nina;660367500;4;11-06-2025;4;210;210;2;Las Condes;-334.250.367;-7.059.022.139.999.990;Agentes Inmobiliarios Asociados-AINA
Las Condes Casa en venta de 3 dormitorios en las condes;445455000;2;11-06-2025;3;90;290;1;Las Condes;-33.414.564;-705.515.694;Unne
Nunoa Avda Sur/ Julio cordero;550000000;4;11-06-2025;5;198;438;2;Nunoa;-33.460.936;-706.242.474;Agentes Inmobiliarios Asociados-AINA
Penaflor Av. Miraflores con  ulkantun;134418000;3;11-06-2025;4;89;180;;Penaflor;-336.013.353;-708.625.357;
Santiago Chacabuco 777 Santiago;210000000;1;11-06-2025;6;215;215;;Santiago;-334.362.082;-7.067.908.349.999.990;Find Home
San Miguel Amplio terreno !!! (99738);159000000;1;11-06-2025;2;48;430;2;San Miguel;-334.948.023;-706.408.515;Leyla Irarrazabal
Lampa Venta de casa con patio en batuco (99889);80000000;1;11-06-2025;5;100;300;2;Lampa;-332.284.049;-70.806.413;Barbara Propiedades
Quinta Normal Av. Carrascal;200000000;1;11-06-2025;4;145;305;4;Quinta Normal;-334.151.991;-70.714.942;Agentes Inmobiliarios Asociados-AINA
La Florida Las Tinajas;320024250;3;11-06-2025;4;150;300;2;La Florida;-335.358.185;-705.370.904;Agentes Inmobiliarios Asociados-AINA
San Bernardo Villa terrasol;132972225;2;11-06-2025;3;62;104;1;San Bernardo;-33.616.937.750.737.900;-7.068.890.739.417.290;Grupo Premium Propiedades Santiago
Las Condes Talaveras de la reina/ metro los dominicos/  las condes;488437500;3;11-06-2025;4;160;188;;Las Condes;-334.127.447;-705.432.916;Unne
Nunoa Casa con Gran Terreno y Entorno Seguro (99419);488046750;3;11-06-2025;5;140;413;2;Nunoa;-334.540.129;-705.879.364;Tolive Gestión Inmobiliaria
Lo Barnechea Santa Blanca;996412500;5;11-06-2025;5;286;850;5;Lo Barnechea;-3.336.022.846.758.830;-7.053.133.501.087.800;ProUrbe Manquehue
Calera de Tango Exclusiva casa a un paso colegio san felipe  (99827);624809250;6;11-06-2025;5;350;5000;6;Calera de Tango;-335.893.478;-707.803.775;MONCAT PROPIEDADES
Colina condominio borde blanco;320415000;3;11-06-2025;4;163;400;;Colina;-332.295.951;-706.848.488;Nexxos
Providencia Espectacular Casa en Providencia (98703);547050000;2;11-06-2025;5;189;360;3;Providencia;-334.413.382;-705.918.861;UrbanFlip
Las Condes Casa comercial remodelar 209 construidos en 539 de terreno;625200000;5;11-06-2025;5;210;539;6;Las Condes;-334.198.175.090.506;-7.056.186.246.839.370;Easyprop
Las Condes San Miguel Arcangel 3D 3B sala estar 133 m2 en 303 de terreno;624809250;3;11-06-2025;3;133;303;2;Las Condes;-333.897.391;-705.335.018;Easyprop
Isla de Maipo Casona patronal 4 D 4 B 541 m2 en 9.851 m2 de parque;918262500;4;11-06-2025;4;594;9851;12;Isla de Maipo;-33.752.995.728.891.200;-7.086.829.574.808.780;Easyprop
Recoleta 213 de terreno 145 construido. Recien renovado. Subdividida en 3 con accesos independientes;150000000;3;11-06-2025;5;145;213;;Recoleta;-33.410.009;-706.431.262;Easyprop
Calera de Tango Lonquen Sur con San Alfonso;507975000;6;11-06-2025;6;270;5600;12;Calera de Tango;-33.639.838;-70.835.481;Grupo Premium Propiedades Santiago
Vitacura La llaveria- los estanques;496252500;;11-06-2025;5;160;140;;Vitacura;-333.779.655;-705.449.837;
Las Condes Camino de las Flores;1245711000;3;11-06-2025;4;300;630;5;Las Condes;-3.340.519.467.761.310;-7.052.215.094.250.980;Agustín Fuenzalida Propiedades
La Reina Onofre jarpa / la reina;894817500;4;11-06-2025;5;275;2000;3;La Reina;-334.399.242;-705.273.633;Foix Realty 100
Penaflor Punta Arenas 0301;109000000;2;11-06-2025;5;402;402;;Penaflor;-336.003.871;-7.085.160.739.999.990;Easyprop
Maipu Los LLanos de Maipu / Calle Los Bedunios;82900000;;11-06-2025;2;51;69;;Maipu;-335.461.391;-707.611.165;Easyprop
Penaflor larrain 1871;115000000;2;11-06-2025;3;95;175;1;Penaflor;-3.360.157;-7.087.237.999.999.990;Find Home
Nunoa Remodelar // Metro Grecia (93292);144577500;1;11-06-2025;3;91;171;1;Nunoa;-33.471.823;-705.857.218;Hausy Propiedades
Maipu Santa ana de chena  (en condominio);507975000;3;11-06-2025;4;140;1600;;Maipu;-335.574.245;-707.742.755;Unne
Colina Las Brisas de Chicureo;1312920000;8;11-06-2025;7;832;832;10;Colina;-3.323.786.922.087.110;-7.067.995.398.598.320;Santa Sofía Propiedades
Colina Lo pinto;617385000;5;11-06-2025;5;330;330;10;Colina;-3.326.182.241.535.510;-7.072.243.405.396.720;Santa Sofía Propiedades
Puente Alto El Vienes 6406;242265000;3;11-06-2025;4;100;227;2;Puente Alto;-335.588.323;-705.508.783;Easyprop
San Joaquin Se vende linda casa lugar tranquilo en san joaquin;154619775;2;11-06-2025;3;100;205;;San Joaquin;-335.004.418;-706.235.415;
Maipu Espectacular y Acogedora Casa en condomino (99612);191467500;3;11-06-2025;3;83;120;2;Maipu;-334.825.069;-707.594.824;Apud & Asociados, Broker & Invest SpA
Penaflor Bilbao con Porvenir;107690700;2;11-06-2025;3;59;89;1;Penaflor;-3.360.904.272.412.600;-7.088.181.615.986.320;Agentes Inmobiliarios Asociados-AINA
Estacion Central Casa 4 dormitorios  amplia bodega (100679);120000000;2;11-06-2025;4;162;180;2;Estacion Central;-334.717.736;-707.123.241;Propiedades Effata
Estacion Central Casa 4 dormitorios  amplia bodega (100679);120000000;2;11-06-2025;4;162;180;2;Estacion Central;-334.717.736;-707.123.241;Propiedades Effata
Santiago avenida Manuel Antonio Matta 40;90000000;1;11-06-2025;3;47;47;;Santiago;-334.558.446;-706.301.593;Agentes Inmobiliarios Asociados-AINA
Maipu Vicaria con Manuel Barros Borgono;125000000;2;11-06-2025;2;70;70;2;Maipu;-3.350.799.418.631.410;-7.078.866.162.594.930;Alto Coipué Propiedades
Maipu Los pensamientos;195000000;4;11-06-2025;5;170;200;2;Maipu;-334.833.894;-707.673.939;Alto Coipué Propiedades
Buin Victor Troncoso / Camino Buin Alto Jahuel.;175000000;3;11-06-2025;3;92;262;4;Buin;-337.331.697;-7.071.752.289.999.990;Grupo Premium Propiedades Santiago
La Florida Casa con vista privilegiada (98088);320415000;3;11-06-2025;3;108;391;2;La Florida;-33.510.187;-705.287.776;
Talagante Las palmas del oliveto;605662500;3;11-06-2025;4;400;5000;10;Talagante;-3.367.199.255.707.270;-7.085.431.153.530.820;Nexxos
Isla de Maipo Camino Carampangue esquina El Castillo;359490000;5;11-06-2025;5;250;5000;10;Isla de Maipo;-3.370.517.012.351.930;-7.088.868.141.174.310;Nexxos
Macul Adolfo Arenas;311818500;2;11-06-2025;4;140;417;6;Macul;-334.891.953;-7.059.319.049.999.990;ProUrbe Manquehue
Recoleta Leoncio Villablanca 650;449362500;1;11-06-2025;5;400;650;3;Recoleta;-333.893.035;-706.431.379;
Calera de Tango Camino Loreto con Lonquen;441156750;5;11-06-2025;5;324;5274;;Calera de Tango;-336.452.753;-708.407.472;Grupo Premium Propiedades Santiago
San Miguel Magdalena vicuna;347767500;2;11-06-2025;4;202;406;3;San Miguel;-334.798.389;-7.065.456.329.999.990;Nexxos
Recoleta Esquina de francisco cerda con la plata;105000000;1;11-06-2025;1;86;223;3;Recoleta;-333.925.142;-706.512.121;
La Florida Esquina enrique olivarez;156300000;1;11-06-2025;2;68;215;1;La Florida;-335.406.334;-705.847.551;
